"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes"
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","0",,,"B0B3RSDSZ3","B0B3RSDSZ3","5",,"1. This smartwatch is a marvel of modern technology, boasting a sleek, stylish design.2. Its vibrant display and intuitive interface make navigation effortless.3. The health tracking features are exceptionally accurate, monitoring heart rate, sleep, and activity levels.4. With seamless smartphone integration, notifications and calls are always at your fingertips.5. The battery life is impressive, ensuring you stay connected throughout the day.6. Its fitness modes and workout tracking have transformed my exercise routine.7. The durable build and water resistance add to its premium feel.8. Innovative apps and customization options enhance both functionality and style.9. It delivers excellent performance while offering superb value for money.10. Overall, this smartwatch is an outstanding gadget that elevates daily living to a new level of excellence.","R21YG29P19W8GQ","https://m.media-amazon.com/images/I/41tBQRTNdiL.jpg",,,,,,,"Excellent product","https://www.amazon.in/customer-reviews/R21YG29P19W8GQ",,,,"amzn1.account.AH6CVICGOHNJMQ6PLEBQ6W5GHSOQ","https://www.amazon.in/gp/profile/amzn1.account.AH6CVICGOHNJMQ6PLEBQ6W5GHSOQ",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","1",,,"B0B3RSDSZ3","B0B3RSDSZ3","5",,"Premium Looks & Feature-Packed Performance!I recently got the Fire-Boltt Phoenix Ultra Smartwatch, and it has exceeded my expectations! The stainless steel build gives it a luxurious, premium feel, making it look way more expensive than it is. The dark grey finish adds a sleek touch, making it perfect for both casual and formal wear.✔️ Key Highlights:✅ Bluetooth Calling – The built-in mic and speaker work flawlessly, offering clear calls without needing to pull out my phone.✅ AI Voice Assistant – A super handy feature! I can give voice commands and get quick responses.✅ 120+ Sports Modes – Whether it’s running, cycling, or even yoga, this smartwatch tracks it all. Perfect for fitness enthusiasts.✅ Health Monitoring – It accurately tracks heart rate, SpO2 (blood oxygen), and sleep patterns, making it great for health-conscious users.✅ Bright Display & Smooth UI – The touchscreen is vivid and responsive, ensuring smooth navigation.✅ Long Battery Life – Lasts easily 4-5 days on normal use, which is impressive for a smartwatch with so many features.🔹 Verdict:At this price point, the Fire-Boltt Phoenix Ultra is one of the best budget smartwatches out there. It offers a premium design, solid features, and great battery life. If you want a stylish, feature-rich smartwatch without breaking the bank, this is a great choice!","R2750OMB4GT2S6","https://m.media-amazon.com/images/I/61vfqX4wUOL.jpg",,,,,,,"That product should work properly","https://www.amazon.in/customer-reviews/R2750OMB4GT2S6",,,,"amzn1.account.AGRGNNL4M3SDOUWD4GBUYYFAV5UA","https://www.amazon.in/gp/profile/amzn1.account.AGRGNNL4M3SDOUWD4GBUYYFAV5UA",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","2",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"This is insane... It liked it a lot... And thanku amazon for fast delivery service .. and the watch as same as shown ... With clear functioning no lag  no issues... Just go for it ..!!","R3A5TC1Z0OPBGX","https://m.media-amazon.com/images/I/71wnA5eUNGL.jpg",,,,,,,"It stands on its authenticity..!","https://www.amazon.in/customer-reviews/R3A5TC1Z0OPBGX",,,,"amzn1.account.AFZBPSCFTGNESZEXD3GI5BMHTGOA","https://www.amazon.in/gp/profile/amzn1.account.AFZBPSCFTGNESZEXD3GI5BMHTGOA",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","3",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"Nice this product is very goodValue for money ,❤️❤️❤️🥰","R2TEZ03HWOXKYJ","https://m.media-amazon.com/images/I/718W1UDR6oL.jpg",,,,,,,"Nice this product","https://www.amazon.in/customer-reviews/R2TEZ03HWOXKYJ",,,,"amzn1.account.AG2A5CHCUROBLL5ZSH6WGZGDVC6A","https://www.amazon.in/gp/profile/amzn1.account.AG2A5CHCUROBLL5ZSH6WGZGDVC6A",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","4",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",," ","R1DVPJ4EMX60WJ","https://m.media-amazon.com/images/I/61SkOf0Fy4L.jpg",,,,,,,"Good","https://www.amazon.in/customer-reviews/R1DVPJ4EMX60WJ",,,,"amzn1.account.AE3D44FK5SQCDANBUISEPXAZH32A","https://www.amazon.in/gp/profile/amzn1.account.AE3D44FK5SQCDANBUISEPXAZH32A",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","5",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"Very good product","R3K72PRJZD9DKR","https://m.media-amazon.com/images/I/71eokoHwoPL.jpg",,,,,,,"Nice","https://www.amazon.in/customer-reviews/R3K72PRJZD9DKR",,,,"amzn1.account.AEAPAKNOKUETSOOVCUHBVPD5KMCQ","https://www.amazon.in/gp/profile/amzn1.account.AEAPAKNOKUETSOOVCUHBVPD5KMCQ",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","6",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"Product was Good screen quality Good","R1IQJT7R5HRK0Y","https://m.media-amazon.com/images/I/71XpgzuzWXL.jpg",,,,,,,"Display quality nice","https://www.amazon.in/customer-reviews/R1IQJT7R5HRK0Y",,,,"amzn1.account.AFBCPCFTDKVDQI7ZHCRSY6M2GTMQ","https://www.amazon.in/gp/profile/amzn1.account.AFBCPCFTDKVDQI7ZHCRSY6M2GTMQ",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","7",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"Good product but steps counter moves even when we are seated","R1DTP7Z8QXZ3BL","https://m.media-amazon.com/images/I/7166bqOFbEL.jpg",,,,,,,"Good","https://www.amazon.in/customer-reviews/R1DTP7Z8QXZ3BL",,,,"amzn1.account.AFXDFGJVLPO5JKDUUTF334ITNI7A","https://www.amazon.in/gp/profile/amzn1.account.AFXDFGJVLPO5JKDUUTF334ITNI7A",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","8",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"I liked the vibrant display the mostThe Fire-Boltt Phoenix Pro BSS 100 is a budget-friendly smartwatch that offers a decent range of features for its price. It boasts a sleek design with a round dial and a comfortable silicone strap. The 1.39-inch display is vibrant and responsive, making it easy to navigate the watch's interface.Features: * Bluetooth Calling: The standout feature is the ability to make and receive calls directly from the watch, which is convenient for those who want to keep their phone in their pocket. * Health Monitoring: It includes basic health tracking features like heart rate monitoring, blood pressure monitoring, and SpO2 monitoring. However, the accuracy of these sensors may vary. * Fitness Tracking: The watch offers 120+ sports modes, allowing you to track various activities. It also includes features like sedentary reminders and sleep tracking. * Other Features: It has other features like notifications for calls, messages, and social media, weather updates, music control, and a remote camera control.Pros: * Affordable price * Stylish design * Bluetooth calling functionality * Variety of sports modes * Decent battery lifeCons: * Accuracy of health sensors may not be the best * Some users have reported issues with the watch's software and connectivityOverall:The Fire-Boltt Phoenix Pro BSS 100 is a good option for those looking for a budget-friendly smartwatch with Bluetooth calling functionality. It offers a decent set of features and a comfortable design. However, it's important to note that the accuracy of its health sensors are not so perfect.","R2C5L5DZONM1QA","https://m.media-amazon.com/images/I/71kA9h-OYLL.jpg",,,,,,,"Vibrant classy budget friendly watch","https://www.amazon.in/customer-reviews/R2C5L5DZONM1QA",,,,"amzn1.account.AEH3DJOBBY4GJORVX2NOLH3ZB6AA","https://www.amazon.in/gp/profile/amzn1.account.AEH3DJOBBY4GJORVX2NOLH3ZB6AA",,"B0B3RSDSZ3",
,,,,,"https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RSDSZ3/ref=sr_1_3_sspa?crid=3MWYPPD87F4MS&dib=eyJ2IjoiMSJ9.vGOzM8tTOZnkYz_iyDEbzd0orHZjvZqpUiMBI7oQLaxjPYAf-xlFJJMaFwksvnP9SSsyGbml8E1CQMjJDngnbTuhLEKZhX1xhIO-jZoTyYOjGarIPMHEG1RYZjVGxoPozU5BrrrLOC8MY9GJEQ7omucK54UkBIF7QAJOyROalg1zNko9As9mCo4q-4IhnYdBEDffyONL_ng6UerugYhe87thnOBMK7jmKY_5TFAqueeecMdVfd82o5WzQUxhKF83t7g_NEHW39p5SoOlSaqIK1Qnq83cbrlOJAllevBdLEA.fnEVY--zkSnZI4p_XxWmJyUKjHTV--VZSuVCFM5Btpk&dib_tag=se&keywords=watch&qid=1743693952&sprefix=watch%2Caps%2C239&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",,"true","9",,,"B0B3RSDSZ3","B0B3RSDSZ3","4",,"All features are good but the watch is only having one game that is 2048.","R1SWQK91R9POPE","https://m.media-amazon.com/images/I/61J2g02hd3L.jpg",,,,,,,"Only 1 game is available","https://www.amazon.in/customer-reviews/R1SWQK91R9POPE",,,,"amzn1.account.AFXK74KCIYRQ4DO637E2CD2WM3YA","https://www.amazon.in/gp/profile/amzn1.account.AFXK74KCIYRQ4DO637E2CD2WM3YA",,"B0B3RSDSZ3",
