"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes"
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","0",,,"B01HJI0FS2","B01HJI0FS2","4",,"Product is good....","R5L5FU3QUPE84","https://m.media-amazon.com/images/I/717TM2yxJtL.jpg","https://m.media-amazon.com/images/I/81VKAyYQwTL.jpg",,,,,,,,,"Nice product...","https://www.amazon.in/customer-reviews/R5L5FU3QUPE84",,,,"amzn1.account.AHYNKIYKBL5HFDJSBDLP4MCPUD3Q","https://www.amazon.in/gp/profile/amzn1.account.AHYNKIYKBL5HFDJSBDLP4MCPUD3Q",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","1",,,"B01HJI0FS2","B01HJI0FS2","4",,"Light weight and responsive but a little bit larger than expected. For the price it's definitely good. Go for it if you want to use it for casual use. If you are a graphic designer or a gamer go for a wired mouse with 1600+ dpi.","RIG3SJUQHWBCX","https://m.media-amazon.com/images/I/61INgXs8MBL.jpg",,,,,,,,,,"Good purchase.","https://www.amazon.in/customer-reviews/RIG3SJUQHWBCX",,,,"amzn1.account.AGLT5ZWD5CSN2GCFECEBSIY37VMA","https://www.amazon.in/gp/profile/amzn1.account.AGLT5ZWD5CSN2GCFECEBSIY37VMA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","2",,,"B01HJI0FS2","B01HJI0FS2","5",,"Best value for money from Dell. Works very well and button feedback is good.","RZOFPMESVED5H","https://m.media-amazon.com/images/I/6122tk-T31L.jpg","https://m.media-amazon.com/images/I/51qMBWFh5cL.jpg",,,,,,,,,"Worth the price","https://www.amazon.in/customer-reviews/RZOFPMESVED5H",,,,"amzn1.account.AG65CKYDYO7Y773ZL4HTNAOTHQWA","https://www.amazon.in/gp/profile/amzn1.account.AG65CKYDYO7Y773ZL4HTNAOTHQWA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","3",,,"B01HJI0FS2","B01HJI0FS2","4",," ","R3OHFC3WWQDUQM","https://m.media-amazon.com/images/I/71TAQwuB-JL.jpg",,,,,,,,,,"great product","https://www.amazon.in/customer-reviews/R3OHFC3WWQDUQM",,,,"amzn1.account.AHSELK5ZO6T5R34BM2S4UUX3NQHA","https://www.amazon.in/gp/profile/amzn1.account.AHSELK5ZO6T5R34BM2S4UUX3NQHA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","4",,,"B01HJI0FS2","B01HJI0FS2","5",,"Quality wise product is very good and cost of mouse is also worthy. So any one can buy this without any doubt.","R15GFCR8K7LK93","https://m.media-amazon.com/images/I/61uyE019TNL.jpg",,,,,,,,,,"Mouse working is very smooth","https://www.amazon.in/customer-reviews/R15GFCR8K7LK93",,,,"amzn1.account.AFR6YURC4LFP52NUNDRL6GASVZTQ","https://www.amazon.in/gp/profile/amzn1.account.AFR6YURC4LFP52NUNDRL6GASVZTQ",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","5",,,"B01HJI0FS2","B01HJI0FS2","4",,"बहुत ही अच्छा उत्पाद है मैं इसे खरीदने के लिए सुझाव दूंगा मैं इसे 1 साल से उपयोग कर रहा हूं और बहुत ही अच्छा अनुभव है इसका बहुत ही अच्छा काम भी करता है।","R6AJZEEXT9836","https://m.media-amazon.com/images/I/61G4fgdNA5L.jpg","https://m.media-amazon.com/images/I/6183gnstsIL.jpg",,,,,,,,,"Value for money","https://www.amazon.in/customer-reviews/R6AJZEEXT9836",,,,"amzn1.account.AGF55QJD4RYEMQQJERG4BEN4VHUQ","https://www.amazon.in/gp/profile/amzn1.account.AGF55QJD4RYEMQQJERG4BEN4VHUQ",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","6",,,"B01HJI0FS2","B01HJI0FS2","5",,"I bought the Dell MS116 Wired Optical Mouse in March 2024 and am now sharing a long-term review.ProsLightweight and Simple Design: Perfect mouse with a lightweight, simple design that is comfortable to use.Long Cable: The cable is long enough to be placed anywhere, offering flexibility in setup.Precise Tracking: This mouse boasts 1000DPI optical tracking, which translates to precise and smooth cursor movement. It's responsive and accurate, making it easy to use for everyday tasks.LED Tracking Technology: The LED tracking technology ensures that this mouse works flawlessly on any surface.Comfortable Fit: The mouse fits comfortably in your hand and reduces strain, allowing you to work or play for hours without discomfort.Convenient Scrolling Wheel: The scrolling wheel adds convenience to your computing experience with haptic response making your tasks easier.Wide Compatibility: The wired cable can be used with a wide range of devices, from laptops to desktop computers.Value for Money: At this price point, the mouse is value for money, offering excellent performance at an affordable price.ConsNot for Hardcore Gaming: The mouse is not appropriate for gaming; you can buy a better mouse for long-hour gaming. It's okay for a decent gaming experience but not suitable for hardcore gaming.","R38UX3GUI5HC5O","https://m.media-amazon.com/images/I/81NXYEhiH1L.jpg","https://m.media-amazon.com/images/I/81ujMdys-YL.jpg","https://m.media-amazon.com/images/I/816okT2tA3L.jpg","https://m.media-amazon.com/images/I/81oXCu72GaL.jpg","https://m.media-amazon.com/images/I/81Si3oRFfeL.jpg","https://m.media-amazon.com/images/I/71d8EqqGHbL.jpg","https://m.media-amazon.com/images/I/71D9S+5OvdL.jpg",,,,"Review: Dell MS116 Wired Optical Mouse","https://www.amazon.in/customer-reviews/R38UX3GUI5HC5O",,,,"amzn1.account.AH5JEMJANT2D7WW4XY5HMC6XHV7Q","https://www.amazon.in/gp/profile/amzn1.account.AH5JEMJANT2D7WW4XY5HMC6XHV7Q",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","7",,,"B01HJI0FS2","B01HJI0FS2","4",," ","R1CC58U3AIUKHZ","https://m.media-amazon.com/images/I/71wLiyOk41L.jpg",,,,,,,,,,"Nice","https://www.amazon.in/customer-reviews/R1CC58U3AIUKHZ",,,,"amzn1.account.AEXEOP57DFIWNEIUKNJ2ZISIQRHA","https://www.amazon.in/gp/profile/amzn1.account.AEXEOP57DFIWNEIUKNJ2ZISIQRHA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","8",,,"B01HJI0FS2","B01HJI0FS2","5",,"Quality is pretty good. U can use it for gaming purpose personal or office use. Mouse ache se Function  kr rha h . Scrolling v ache se chal rha h . Good one 👍","R1XAEC3JI6TP2J","https://m.media-amazon.com/images/I/71ckvJkoNrL.jpg","https://m.media-amazon.com/images/I/71dL5FGvCdL.jpg",,,,,,,,,"Works nice","https://www.amazon.in/customer-reviews/R1XAEC3JI6TP2J",,,,"amzn1.account.AGLZPTOCS6B3BVN7T5FMZ2EDF22A","https://www.amazon.in/gp/profile/amzn1.account.AGLZPTOCS6B3BVN7T5FMZ2EDF22A",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","9",,,"B01HJI0FS2","B01HJI0FS2","5",,"Smood Working Mouse Very Comfortable 🥳🤗","R3H34FICQYABHG","https://m.media-amazon.com/images/I/71UvpXgXVaL.jpg","https://m.media-amazon.com/images/I/717BR0FacLL.jpg",,,,,,,,,"Very Nice Mouse 🤩","https://www.amazon.in/customer-reviews/R3H34FICQYABHG",,,,"amzn1.account.AFOS7JOKFTWNZU5UHVOGRKGWF42A","https://www.amazon.in/gp/profile/amzn1.account.AFOS7JOKFTWNZU5UHVOGRKGWF42A",,"B01HJI0FS2",
